"","code","source","value","note","unit","sector","owner","nuts_level","code_label","measure_type_eustat_flag","potential_definition"
"128","DE111","household_waste","0.533993970871051","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"129","DE112","household_waste","0.331711706471434","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"130","DE113","household_waste","0.458348546644004","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"131","DE114","household_waste","0.225492577704508","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"132","DE115","household_waste","0.464708460499401","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"133","DE116","household_waste","0.370834564345164","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"134","DE117","household_waste","0.105778911169884","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"135","DE118","household_waste","0.29421938541159","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"136","DE119","household_waste","0.0977775234174442","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"137","DE11A","household_waste","0.169846521452377","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"138","DE11B","household_waste","0.119054707274456","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"139","DE11C","household_waste","0.116495429815879","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"140","DE11D","household_waste","0.279377763568473","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"141","DE121","household_waste","0.0476811254435458","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"142","DE122","household_waste","0.263559095630058","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"143","DE123","household_waste","0.386553887111576","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"144","DE124","household_waste","0.202631339637023","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"145","DE125","household_waste","0.133752324189349","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"146","DE126","household_waste","0.264419479505021","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"147","DE127","household_waste","0.130160403796096","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"148","DE128","household_waste","0.477621510012622","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"149","DE129","household_waste","0.104276885083084","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"150","DE12A","household_waste","0.137669622806502","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"151","DE12B","household_waste","0.174403639434174","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"152","DE12C","household_waste","0.105700528740597","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"153","DE131","household_waste","0.19106081708124","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"154","DE132","household_waste","0.225375915484174","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"155","DE133","household_waste","0.142594955921229","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"156","DE134","household_waste","0.373867782073848","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"157","DE135","household_waste","0.124389269583948","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"158","DE136","household_waste","0.185900336678653","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"159","DE137","household_waste","0.120502047945475","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"160","DE138","household_waste","0.243318200402107","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"161","DE139","household_waste","0.199604501873514","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"162","DE13A","household_waste","0.148685999815699","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"163","DE141","household_waste","0.249140374335651","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"164","DE142","household_waste","0.193178054095583","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"165","DE143","household_waste","0.169122851116867","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"166","DE144","household_waste","0.106418730534528","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"167","DE145","household_waste","0.169699782253363","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"168","DE146","household_waste","0.170840884596005","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
